command : ython3 tool/volatility3/vol.py -f memdump.mem windows.pslist --> liste des processus en mémoire

Volatility 3 Framework 2.28.0

PID	PPID	ImageFileName	Offset(V)	Threads	Handles	SessionId	Wow64	CreateTime	ExitTime	File output
4092	792	ShellExperienc	0xce065772b080	13	-	1	False	2024-09-10 05:33:35.000000 UTC	N/A	Disabled
2696	792	SearchUI.exe	0xce065730d080	14	-	1	False	2024-09-10 05:33:42.000000 UTC	N/A	Disabled
2036	792	RuntimeBroker.	0xce0656dd40c0	3	-	1	False	2024-09-10 05:33:46.000000 UTC	N/A	Disabled
1052	628	svchost.exe	0xce0657783080	7	-	0	False	2024-09-10 05:34:00.000000 UTC	N/A	Disabled
1704	792	RuntimeBroker.	0xce06579ad080	1	-	1	False	2024-09-10 05:34:01.000000 UTC	N/A	Disabled
4200	4156	RegSvcs.exe	0xce06577c5080	4	-	1	True	2024-09-10 05:34:26.000000 UTC	N/A	Disabled
1960	628	svchost.exe	0xce0657b79080	9	-	0	False	2024-09-10 05:41:50.000000 UTC	N/A	Disabled
2064	628	svchost.exe	0xce06578ed080	6	-	0	False	2024-09-10 05:44:23.000000 UTC	N/A	Disabled
4332	2452	w3wp.exe	0xce06574ca080	0	-	0	False	2024-09-10 05:44:45.000000 UTC	2024-09-10 06:10:48.000000 UTC	Disabled
1676	1628	taskhostw.exe	0xce0656e46080	6	-	1	False	2024-09-10 05:52:43.000000 UTC	N/A	Disabled
900	4332	updatenow.exe	0xce0657ddb1c0	3	-	0	True	2024-09-10 06:08:23.000000 UTC	N/A	Disabled -> ICI updatenow.exe ----------------------------
3628	3976	FTK Imager.exe	0xce065772d080	15	-	1	False	2024-09-10 06:09:42.000000 UTC	N/A	Disabled
1564	628	svchost.exe	0xce0657a4f080	2	-	0	False	2024-09-10 06:12:41.000000 UTC	N/A	Disabled
4656	1628	wermgr.exe	0xce0657303080	1	-	0	False	2024-09-10 06:14:57.000000 UTC	N/A	Disabled
4648	1628	taskhostw.exe	0xce06574c8080	6	-	1	False	2024-09-10 06:14:58.000000 UTC	N/A	Disabled
3184	1628	taskhostw.exe	0xce0656ea7600	9	-	0	False	2024-09-10 06:15:00.000000 UTC	N/A	Disabled
318175	320511
s	0xce06577c4080	314390	-	-	True	N/A	N/A	Disabled
